rank,Name,Img,Page_link,Genres,Percentage,Users,row format,episodes,date,status,Action,Adventure,Drama,Fantasy,Mystery,Slice of Life,Comedy,Sci-Fi,Psychological,Thriller,Romance,Supernatural,Sports,Ecchi,Mecha,Horror,Music,Mahou Shoujo
843,Bishoujo Senshi Sailor Moon,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx530-I0XN6WzeBtAg.jpg,https://anilist.co/anime/530/Bishoujo-Senshi-Sailor-Moon/,"['Action', 'Fantasy', 'Mahou Shoujo', 'Romance']",75,33146,TV Show,46,Winter 1992,Finished,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
844,Shingeki no Kyojin: Chronicle,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx119113-IzVI5oZ0og8O.jpg,https://anilist.co/anime/119113/Shingeki-no-Kyojin-Chronicle/,"['Action', 'Drama', 'Fantasy', 'Mystery']",75,5684,Movie,2,Summer 2020,Finished,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
845,Akudama Drive,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b116566-gPdsIhCeCpL9.png,https://anilist.co/anime/116566/Akudama-Drive/,"['Action', 'Sci-Fi']",75,27487,TV Show,12,Airing,Ep 7 airing in 1 day,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
846,Wan Sheng Jie,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx114555-VG8GrhzCDNWE.png,https://anilist.co/anime/114555/Wan-Sheng-Jie/,"['Comedy', 'Slice of Life', 'Supernatural']",75,1358,ONA,12,2020,Finished,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
847,Hakumei no Tsubasa,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx113932-2sY3uAQq9qSz.png,https://anilist.co/anime/113932/Hakumei-no-Tsubasa/,"['Adventure', 'Drama', 'Fantasy', 'Slice of Life']",75,4009,ONA,7,Winter 2020,Finished,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
848,Love Live! Sunshine!! The School Idol Movie: Over the Rainbow,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx100965-dJQbkKufvmOg.jpg,https://anilist.co/anime/100965/Love-Live-Sunshine-The-School-Idol-Movie-Over-the-Rainbow/,"['Music', 'Slice of Life']",75,7150,Movie,1,Winter 2019,Finished,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
849,Shingeki no Kyojin: Kakusei no Houkou,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx100465-ivKS0RqXg5dI.png,https://anilist.co/anime/100465/Shingeki-no-Kyojin-Kakusei-no-Houkou/,"['Action', 'Drama', 'Fantasy', 'Mystery']",75,6882,Movie,2,Winter 2018,Finished,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
850,Koutetsujou no Kabaneri: Unato Kessen,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx97918-doqeSVPqAPQU.jpg,https://anilist.co/anime/97918/Koutetsujou-no-Kabaneri-Unato-Kessen/,"['Action', 'Drama', 'Fantasy', 'Horror', 'Supernatural']",75,15405,Movie,1,Spring 2019,Finished,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
851,Demi-chan wa Kataritai,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx97592-2m8qtzJLuGY3.jpg,https://anilist.co/anime/97592/Demichan-wa-Kataritai/,"['Comedy', 'Slice of Life', 'Supernatural']",75,47002,TV Show,12,Winter 2017,Finished,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
852,ACCA: 13-ku Kansatsu-ka,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx21823-0XTjZ0Rtm7va.jpg,https://anilist.co/anime/21823/ACCA-13ku-Kansatsuka/,"['Drama', 'Mystery', 'Slice of Life']",75,21934,TV Show,12,Winter 2017,Finished,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
853,One Punch Man: Road to Hero,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx21386-ZMcREWXeWMow.jpg,https://anilist.co/anime/21386/One-Punch-Man-Road-to-Hero/,"['Action', 'Comedy', 'Sci-Fi', 'Supernatural']",75,33335,OVA,1,Fall 2015,Finished,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
854,WHITE ALBUM 2,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx18245-pySqIBOFE5iF.jpg,https://anilist.co/anime/18245/WHITE-ALBUM-2/,"['Drama', 'Music', 'Romance', 'Slice of Life']",75,26929,TV Show,13,Fall 2013,Finished,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
855,Minami-ke Tadaima,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx14511-OiJu2uyufahP.jpg,https://anilist.co/anime/14511/Minamike-Tadaima/,"['Comedy', 'Slice of Life']",75,7875,TV Show,13,Winter 2013,Finished,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
