rank,Manga series,Author(s),Publisher,Demographic,No. of collected volumes,Serialized,Approximate sales
53,Shizukanaru Don – Yakuza Side Story,Tatsuo Nitta,Jitsugyo no Nihon Sha,Seinen,108,1988–2013,45 million
54,Tokyo Ghoul,Sui Ishida,Shueisha,Seinen,30,2011–2018,44 million
55,Super Radical Gag Family,Kenji Hamaoka,Akita Shoten,Shōnen,90,1993–present,44 million
56,Crayon Shin-chan,Yoshito Usui,Futabasha,Seinen,50,1990–2010,43 million
57,Nana,Ai Yazawa,Shueisha,Shōjo,21,2000–2009 (on hiatus),43 million
58,Be-Bop High School,Kazuhiro Kiuchi,Kodansha,Seinen,48,1983–2003,40 million
59,Berserk,Kentaro Miura,Hakusensha,Seinen,40,1989–present,40 million
60,Kachō Kōsaku Shima,Kenshi Hirokane,Kodansha,Seinen,83,1983–present,40 million
61,Kyō Kara Ore Wa!!,Hiroyuki Nishimori,Shogakukan,Shōnen,38,1988–1997,40 million
62,Tsurikichi Sanpei,Takao Yaguchi,Kodansha,Shōnen,65,1973–1983,40 million
63,Yu-Gi-Oh!,Kazuki Takahashi,Shueisha,Shōnen,38,1996–2004,40 million
64,Nodame Cantabile,Tomoko Ninomiya,Kodansha,Josei,23,2001–2009,37 million
65,The Seven Deadly Sins,Nakaba Suzuki,Kodansha,Shōnen,41,2012–2020,37 million
66,20th Century Boys,Naoki Urasawa,Shogakukan,Seinen,22,1999–2006,36 million
67,Ace of Diamond,Yuji Terajima,Kodansha,Shōnen,67,2006–present,36 million
68,Cooking Papa,Tochi Ueyama,Kodansha,Seinen,148,1985–present,36 million
69,Crest of the Royal Family,Chieko Hosokawa,Akita Shoten,Shōjo,64,1976–present,36 million
70,Dr. Slump,Akira Toriyama,Shueisha,Shōnen,18,1980–1984,35 million
71,Worst,Hiroshi Takahashi,Akita Shoten,Shōnen,33,2002–2013,35 million
72,Sailor Moon,Naoko Takeuchi,Kodansha,Shōjo,18,1991–1997,35 million
73,Saint Seiya,Masami Kurumada,Shueisha,Shōnen,28,1986–1990,35 million
74,Shaman King,Hiroyuki Takei,Shueisha/Kodansha,Shōnen,32/35,1998–2004,35 million
75,3×3 Eyes,Yuzo Takada,Kodansha,Seinen,40,1987–2002,33 million
76,Kimi ni Todoke,Karuho Shiina,Shueisha,Shōjo,30,2005–2017,33 million
77,Chibi Maruko-chan,Momoko Sakura,Shueisha,Shōjo,16,1986–2009,32 million
78,Kuroko's Basketball,Tadatoshi Fujimaki,Shueisha,Shōnen,30,2008–2014,31 million
79,Bastard‼,Kazushi Hagiwara,Shueisha,Shōnen/Seinen,27,1988–present,30 million
80,Chameleon,Atsushi Kase,Kodansha,Shōnen,47,1990–1999,30 million
81,Death Note,Tsugumi Ohba,Shueisha,Shōnen,12,2003–2006,30 million
82,Fruits Basket,Natsuki Takaya,Hakusensha,Shōjo,23,1998–2006,30 million
83,Gaki Deka,Tatsuhiko Yamagami,Akita Shoten,Shōnen,26,1974–1980,30 million
84,Jarinko Chie,Etsumi Haruki,Futabasha,Seinen,67,1978–1997,30 million
85,One-Punch Man,One,Shueisha,Seinen,22,2012–present,30 million
86,Reborn!,Akira Amano,Shueisha,Shōnen,42,2004–2012,30 million
87,Salaryman Kintarō,Hiroshi Motomiya,Shueisha,Seinen,30,1994–2002,30 million
